Resistance,Frequency_Hz,Vs_Vpp_Run1,VR_Vpp_Run1,Gain_Run1,Run_Run1,Vs_Vpp_Run2,VR_Vpp_Run2,Gain_Run2,Run_Run2,Gain_Diff,Abs_Gain_Diff,Relative_Gain_Diff_Percent,Vs_Diff,VR_Diff,Suspicious
47,3150,1.26,0.616,0.4888888888888889,1,1.26,0.628,0.4984126984126984,2,0.009523809523809545,0.009523809523809545,1.9480519480519525,0.0,0.01200000000000001,False
47,3175,1.26,0.616,0.4888888888888889,1,1.26,0.624,0.49523809523809526,2,0.006349206349206382,0.006349206349206382,1.2987012987013056,0.0,0.008000000000000007,False
47,3200,1.26,0.616,0.4888888888888889,1,1.26,0.624,0.49523809523809526,2,0.006349206349206382,0.006349206349206382,1.2987012987013056,0.0,0.008000000000000007,False
47,3225,1.26,0.616,0.4888888888888889,1,1.26,0.624,0.49523809523809526,2,0.006349206349206382,0.006349206349206382,1.2987012987013056,0.0,0.008000000000000007,False
47,3250,1.27,0.616,0.48503937007874015,1,1.26,0.62,0.49206349206349204,2,0.007024121984751885,0.007024121984751885,1.4481550195835868,-0.010000000000000009,0.0040000000000000036,False
47,3275,1.28,0.612,0.47812499999999997,1,1.26,0.616,0.4888888888888889,2,0.010763888888888906,0.010763888888888906,2.2512708787218627,-0.020000000000000018,0.0040000000000000036,False
47,3300,1.29,0.608,0.47131782945736433,1,1.26,0.616,0.4888888888888889,2,0.01757105943152454,0.01757105943152454,3.7280701754385945,-0.030000000000000027,0.008000000000000007,False
47,3325,1.3,0.608,0.4676923076923077,1,1.28,0.616,0.48125,2,0.013557692307692326,0.013557692307692326,2.89884868421053,-0.020000000000000018,0.008000000000000007,False
47,3350,1.3,0.608,0.4676923076923077,1,1.3,0.608,0.4676923076923077,2,0.0,0.0,0.0,0.0,0.0,False
47,3375,1.3,0.6,0.4615384615384615,1,1.3,0.604,0.4646153846153846,2,0.003076923076923088,0.003076923076923088,0.6666666666666692,0.0,0.0040000000000000036,False
47,3400,1.3,0.592,0.45538461538461533,1,1.3,0.604,0.4646153846153846,2,0.009230769230769265,0.009230769230769265,2.0270270270270347,0.0,0.01200000000000001,False
47,3450,1.34,0.588,0.43880597014925365,1,1.32,0.596,0.4515151515151515,2,0.012709181365897826,0.012709181365897826,2.8963100391671923,-0.020000000000000018,0.008000000000000007,False
47,3500,1.38,0.584,0.42318840579710143,1,1.34,0.592,0.44179104477611936,2,0.018602638979017927,0.018602638979017927,4.395829073809031,-0.039999999999999813,0.008000000000000007,False
47,3600,1.42,0.568,0.39999999999999997,1,1.38,0.568,0.4115942028985507,2,0.011594202898550732,0.011594202898550732,2.8985507246376834,-0.040000000000000036,0.0,False
47,3800,1.5,0.52,0.3466666666666667,1,1.5,0.532,0.3546666666666667,2,0.008000000000000007,0.008000000000000007,2.3076923076923097,0.0,0.01200000000000001,False
47,4000,1.59,0.488,0.3069182389937107,1,1.58,0.488,0.30886075949367087,2,0.0019425204999601875,0.0019425204999601875,0.6329113924050611,-0.010000000000000009,0.0,False
47,4500,1.74,0.392,0.22528735632183908,1,1.74,0.4,0.2298850574712644,2,0.004597701149425315,0.004597701149425315,2.0408163265306247,0.0,0.008000000000000007,False
47,5000,1.82,0.328,0.18021978021978022,1,1.82,0.344,0.18901098901098898,2,0.00879120879120876,0.00879120879120876,4.878048780487788,0.0,0.01599999999999996,False
100,1000,2.04,0.312,0.15294117647058822,1,2.02,0.304,0.1504950495049505,2,-0.0024461269656377294,0.0024461269656377294,1.5993907083015924,-0.020000000000000018,-0.008000000000000007,False
100,1500,1.94,0.472,0.24329896907216494,1,1.94,0.456,0.2350515463917526,2,-0.008247422680412342,0.008247422680412342,3.389830508474564,0.0,-0.01599999999999996,False
100,2000,1.82,0.656,0.36043956043956044,1,1.82,0.648,0.35604395604395606,2,-0.00439560439560438,0.00439560439560438,1.219512195121947,0.0,-0.008000000000000007,False
100,2300,1.7,0.776,0.45647058823529413,1,1.7,0.768,0.45176470588235296,2,-0.004705882352941171,0.004705882352941171,1.0309278350515452,0.0,-0.008000000000000007,False
