Resistance,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Run
200,3275,1.66,1.24,0.746987951807229,2
200,3300,1.66,1.24,0.746987951807229,2
200,3325,1.66,1.24,0.746987951807229,2
200,3350,1.66,1.24,0.746987951807229,2
200,3375,1.66,1.24,0.746987951807229,2
200,3400,1.66,1.23,0.7409638554216867,2
200,3450,1.66,1.23,0.7409638554216867,2
200,3500,1.66,1.23,0.7409638554216867,2
200,3600,1.67,1.215,0.7275449101796408,2
200,3800,1.7,1.195,0.7029411764705883,2
200,4000,1.7,1.16,0.6823529411764706,2
200,4500,1.74,1.08,0.6206896551724138,2
200,5000,1.78,0.996,0.5595505617977528,2
270,1000,2.02,0.78,0.38613861386138615,1
270,1500,1.92,1.11,0.5781250000000001,1
270,2000,1.86,1.34,0.7204301075268817,1
270,2300,1.78,1.44,0.8089887640449438,1
270,2500,1.78,1.48,0.8314606741573034,1
270,2600,1.76,1.5,0.8522727272727273,1
270,2700,1.75,1.52,0.8685714285714285,1
270,2800,1.74,1.54,0.8850574712643678,1
270,2850,1.74,1.54,0.8850574712643678,1
270,2900,1.74,1.54,0.8850574712643678,1
270,2950,1.74,1.54,0.8850574712643678,1
270,3000,1.74,1.54,0.8850574712643678,1
270,3025,1.74,1.54,0.8850574712643678,1
270,3050,1.74,1.54,0.8850574712643678,1
270,3075,1.74,1.54,0.8850574712643678,1
270,3100,1.74,1.54,0.8850574712643678,1
270,3125,1.74,1.54,0.8850574712643678,1
270,3150,1.74,1.54,0.8850574712643678,1
270,3175,1.74,1.54,0.8850574712643678,1
270,3200,1.74,1.54,0.8850574712643678,1
270,3225,1.74,1.54,0.8850574712643678,1
270,3250,1.74,1.54,0.8850574712643678,1
270,3275,1.74,1.54,0.8850574712643678,1
270,3300,1.74,1.54,0.8850574712643678,1
270,3325,1.74,1.54,0.8850574712643678,1
270,3350,1.74,1.54,0.8850574712643678,1
270,3375,1.74,1.54,0.8850574712643678,1
270,3400,1.74,1.54,0.8850574712643678,1
270,3450,1.74,1.54,0.8850574712643678,1
270,3500,1.74,1.54,0.8850574712643678,1
270,3600,1.74,1.52,0.8735632183908046,1
270,3800,1.74,1.5,0.8620689655172414,1
270,4000,1.76,1.46,0.8295454545454545,1
270,4500,1.78,1.4,0.7865168539325842,1
270,5000,1.82,1.32,0.7252747252747253,1
270,1000,2.01,0.78,0.3880597014925374,2
270,1500,1.9,1.1,0.5789473684210527,2
270,2000,1.82,1.32,0.7252747252747253,2
270,2300,1.78,1.44,0.8089887640449438,2
270,2500,1.78,1.48,0.8314606741573034,2
270,2600,1.76,1.5,0.8522727272727273,2
270,2700,1.74,1.52,0.8735632183908046,2
270,2800,1.74,1.54,0.8850574712643678,2
270,2850,1.74,1.54,0.8850574712643678,2
270,2900,1.74,1.54,0.8850574712643678,2
270,2950,1.74,1.54,0.8850574712643678,2
270,3000,1.74,1.54,0.8850574712643678,2
270,3025,1.74,1.54,0.8850574712643678,2
270,3050,1.74,1.54,0.8850574712643678,2
270,3075,1.74,1.54,0.8850574712643678,2
270,3100,1.74,1.54,0.8850574712643678,2
270,3125,1.74,1.54,0.8850574712643678,2
270,3150,1.74,1.54,0.8850574712643678,2
270,3175,1.74,1.54,0.8850574712643678,2
270,3200,1.74,1.54,0.8850574712643678,2
270,3225,1.74,1.54,0.8850574712643678,2
270,3250,1.74,1.54,0.8850574712643678,2
270,3275,1.74,1.54,0.8850574712643678,2
270,3300,1.74,1.54,0.8850574712643678,2
270,3325,1.74,1.54,0.8850574712643678,2
270,3350,1.74,1.54,0.8850574712643678,2
270,3375,1.74,1.54,0.8850574712643678,2
270,3400,1.74,1.54,0.8850574712643678,2
270,3450,1.74,1.54,0.8850574712643678,2
270,3500,1.74,1.54,0.8850574712643678,2
270,3600,1.74,1.52,0.8735632183908046,2
270,3800,1.74,1.5,0.8620689655172414,2
270,4000,1.74,1.48,0.8505747126436781,2
270,4500,1.78,1.42,0.797752808988764,2
270,5000,1.81,1.33,0.7348066298342542,2
330,1000,1.98,0.9,0.4545454545454546,1
330,1500,1.92,1.24,0.6458333333333334,1
330,2000,1.84,1.46,0.7934782608695652,1
330,2300,1.82,1.54,0.8461538461538461,1
330,2500,1.8,1.58,0.8777777777777778,1
330,2600,1.8,1.58,0.8777777777777778,1
330,2700,1.78,1.6,0.8988764044943821,1
330,2800,1.78,1.6,0.8988764044943821,1
330,2850,1.78,1.61,0.9044943820224719,1
330,2900,1.78,1.62,0.9101123595505618,1
330,2950,1.78,1.62,0.9101123595505618,1
330,3000,1.78,1.62,0.9101123595505618,1
330,3025,1.78,1.62,0.9101123595505618,1
330,3050,1.78,1.62,0.9101123595505618,1
330,3075,1.78,1.62,0.9101123595505618,1
330,3100,1.78,1.62,0.9101123595505618,1
330,3125,1.78,1.62,0.9101123595505618,1
330,3150,1.78,1.62,0.9101123595505618,1
330,3175,1.78,1.62,0.9101123595505618,1
330,3200,1.78,1.62,0.9101123595505618,1
330,3225,1.78,1.62,0.9101123595505618,1
330,3250,1.78,1.62,0.9101123595505618,1
330,3275,1.78,1.62,0.9101123595505618,1
330,3300,1.78,1.62,0.9101123595505618,1
330,3325,1.78,1.62,0.9101123595505618,1
330,3350,1.78,1.61,0.9044943820224719,1
330,3375,1.78,1.61,0.9044943820224719,1
330,3400,1.78,1.61,0.9044943820224719,1
330,3450,1.78,1.605,0.9016853932584269,1
330,3500,1.78,1.6,0.8988764044943821,1
330,3600,1.78,1.58,0.8876404494382023,1
330,3800,1.78,1.58,0.8876404494382023,1
330,4000,1.78,1.54,0.8651685393258427,1
330,4500,1.82,1.5,0.8241758241758241,1
330,5000,1.82,1.43,0.7857142857142857,1
330,1000,1.99,0.9,0.45226130653266333,2
330,1500,1.91,1.22,0.6387434554973822,2
330,2000,1.86,1.44,0.7741935483870968,2
330,2300,1.82,1.54,0.8461538461538461,2
330,2500,1.78,1.57,0.8820224719101124,2
330,2600,1.78,1.58,0.8876404494382023,2
330,2700,1.78,1.58,0.8876404494382023,2
330,2800,1.78,1.6,0.8988764044943821,2
330,2850,1.78,1.61,0.9044943820224719,2
330,2900,1.78,1.62,0.9101123595505618,2
330,2950,1.78,1.62,0.9101123595505618,2
330,3000,1.78,1.62,0.9101123595505618,2
330,3025,1.78,1.62,0.9101123595505618,2
330,3050,1.78,1.62,0.9101123595505618,2
330,3075,1.78,1.62,0.9101123595505618,2
330,3100,1.78,1.62,0.9101123595505618,2
330,3125,1.78,1.62,0.9101123595505618,2
330,3150,1.78,1.62,0.9101123595505618,2
330,3175,1.78,1.62,0.9101123595505618,2
330,3200,1.78,1.62,0.9101123595505618,2
330,3225,1.78,1.62,0.9101123595505618,2
330,3250,1.78,1.62,0.9101123595505618,2
330,3275,1.78,1.62,0.9101123595505618,2
330,3300,1.78,1.62,0.9101123595505618,2
330,3325,1.78,1.62,0.9101123595505618,2
330,3350,1.78,1.61,0.9044943820224719,2
330,3375,1.78,1.615,0.9073033707865168,2
330,3400,1.78,1.615,0.9073033707865168,2
330,3450,1.78,1.61,0.9044943820224719,2
330,3500,1.78,1.6,0.8988764044943821,2
330,3600,1.78,1.59,0.8932584269662922,2
330,3800,1.78,1.58,0.8876404494382023,2
330,4000,1.78,1.55,0.8707865168539326,2
330,4500,1.79,1.5,0.8379888268156425,2
330,5000,1.82,1.43,0.7857142857142857,2
470,1000,1.98,1.18,0.5959595959595959,1
470,1500,1.92,1.47,0.765625,1
470,2000,1.88,1.62,0.8617021276595745,1
470,2300,1.86,1.66,0.8924731182795698,1
470,2500,1.85,1.7,0.9189189189189189,1
470,2600,1.84,1.7,0.9239130434782608,1
470,2700,1.84,1.7,0.9239130434782608,1
470,2800,1.83,1.7,0.9289617486338797,1
470,2850,1.83,1.7,0.9289617486338797,1
470,2900,1.82,1.7,0.934065934065934,1
470,2950,1.82,1.7,0.934065934065934,1
470,3000,1.82,1.7,0.934065934065934,1
470,3025,1.82,1.7,0.934065934065934,1
470,3050,1.82,1.7,0.934065934065934,1
470,3075,1.82,1.71,0.9395604395604396,1
470,3100,1.82,1.71,0.9395604395604396,1
470,3125,1.82,1.71,0.9395604395604396,1
470,3150,1.82,1.7,0.934065934065934,1
470,3175,1.82,1.7,0.934065934065934,1
470,3200,1.82,1.7,0.934065934065934,1
470,3225,1.82,1.7,0.934065934065934,1
470,3250,1.82,1.7,0.934065934065934,1
470,3275,1.82,1.7,0.934065934065934,1
470,3300,1.82,1.7,0.934065934065934,1
470,3325,1.82,1.7,0.934065934065934,1
470,3350,1.82,1.7,0.934065934065934,1
470,3375,1.82,1.7,0.934065934065934,1
470,3400,1.82,1.7,0.934065934065934,1
470,3450,1.82,1.7,0.934065934065934,1
470,3500,1.82,1.7,0.934065934065934,1
470,3600,1.82,1.7,0.934065934065934,1
470,3800,1.82,1.7,0.934065934065934,1
470,4000,1.82,1.66,0.9120879120879121,1
470,4500,1.84,1.65,0.8967391304347825,1
470,5000,1.855,1.59,0.8571428571428572,1
470,1000,1.98,1.18,0.5959595959595959,2
470,1500,1.93,1.46,0.7564766839378239,2
470,2000,1.87,1.62,0.8663101604278075,2
470,2300,1.86,1.66,0.8924731182795698,2
470,2500,1.86,1.7,0.9139784946236559,2
470,2600,1.86,1.7,0.9139784946236559,2
470,2700,1.86,1.7,0.9139784946236559,2
470,2800,1.86,1.7,0.9139784946236559,2
470,2850,1.86,1.7,0.9139784946236559,2
470,2900,1.86,1.7,0.9139784946236559,2
470,2950,1.86,1.71,0.9193548387096774,2
470,3000,1.85,1.71,0.9243243243243242,2
470,3025,1.85,1.71,0.9243243243243242,2
470,3050,1.85,1.71,0.9243243243243242,2
470,3075,1.85,1.71,0.9243243243243242,2
470,3100,1.85,1.71,0.9243243243243242,2
470,3125,1.85,1.71,0.9243243243243242,2
470,3150,1.85,1.71,0.9243243243243242,2
470,3175,1.85,1.71,0.9243243243243242,2
470,3200,1.85,1.71,0.9243243243243242,2
470,3225,1.85,1.71,0.9243243243243242,2
470,3250,1.85,1.71,0.9243243243243242,2
470,3275,1.85,1.71,0.9243243243243242,2
470,3300,1.85,1.71,0.9243243243243242,2
470,3325,1.85,1.71,0.9243243243243242,2
470,3350,1.85,1.71,0.9243243243243242,2
470,3375,1.85,1.71,0.9243243243243242,2
470,3400,1.85,1.7,0.9189189189189189,2
470,3450,1.85,1.7,0.9189189189189189,2
470,3500,1.85,1.7,0.9189189189189189,2
470,3600,1.85,1.7,0.9189189189189189,2
470,3800,1.86,1.7,0.9139784946236559,2
470,4000,1.86,1.7,0.9139784946236559,2
470,4500,1.86,1.64,0.8817204301075268,2
470,5000,1.86,1.62,0.8709677419354839,2
510,1000,1.98,1.22,0.6161616161616161,2
510,1500,1.94,1.52,0.7835051546391752,2
510,2000,1.89,1.66,0.8783068783068783,2
510,2300,1.86,1.7,0.9139784946236559,2
510,2500,1.86,1.71,0.9193548387096774,2
510,2600,1.86,1.73,0.9301075268817204,2
510,2700,1.86,1.74,0.9354838709677419,2
510,2800,1.86,1.74,0.9354838709677419,2
510,2850,1.86,1.74,0.9354838709677419,2
510,2900,1.86,1.74,0.9354838709677419,2
510,2950,1.86,1.74,0.9354838709677419,2
510,3000,1.86,1.74,0.9354838709677419,2
510,3025,1.86,1.74,0.9354838709677419,2
510,3050,1.86,1.74,0.9354838709677419,2
510,3075,1.86,1.74,0.9354838709677419,2
510,3100,1.86,1.74,0.9354838709677419,2
510,3125,1.86,1.74,0.9354838709677419,2
510,3150,1.86,1.74,0.9354838709677419,2
510,3175,1.86,1.74,0.9354838709677419,2
510,3200,1.86,1.74,0.9354838709677419,2
510,3225,1.86,1.74,0.9354838709677419,2
